user_id,original_message_id,text,message_inserted_at,question,expected_answer,question_level,question_micro_lesson,question_skill,question_topic,question_number,answer_type,condition_code,human_label
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggMjlBN0E1OTk5NDFDMTgyQ0E2N0FFQzNEMjIxRUVBRUEA,8,3/25/24 11:53,80/100 = ___/10,8,6,G6.N2.1.2.3,Equivalent fractions,Fractions,10,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggMjY3MzVBQjU0MkQ1QzIxNzI4Mjg3NTY4Mjk0NDcwNTUA,C,3/26/24 14:02,"9, ___, 81, 243, 729, 2,187

A. 28
B. 20
C. 27
D. 37",C,6,G6.A1.1.2.1,Patterns,Algebra,4,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggOEU4MEUyRjgwQkNGNTlEMjg1NjkwNDlCNEQwNTI4MDMA,9,3/25/24 11:50,90/100 = ____/10,9,6,G6.N2.1.2.3,Equivalent fractions,Fractions,5,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggQjdCRkRBRUMwMDZFNzJEMUNENUE5NkY5QjZEM0RFMTkA,57,3/20/24 9:19,"Almost done, just *two more* questions left!🎯

Round 57.03 to the nearest tenths place.",57,6,G6.N3.2.1.2,Round decimals,Decimals,9,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggQTMyNzM0QUQwQzFFOEFDNzM0NEFFOUVERUQ3NTM3M0MA,3,3/25/24 11:52,"Only *two questions* away from completing the set!

 30/100 = ___/ 10",3,6,G6.N2.1.2.3,Equivalent fractions,Fractions,9,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggNDRBOTc3MkZFMEUxOUQxQkZEOTAyNUM0QzY2MjZBMUQA,0.4,3/20/24 9:19,Round 0.44 to the nearest tenths place.,0.4,6,G6.N3.2.1.2,Round decimals,Decimals,10,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggREJERkU3RTYyOUQwMEZFNEZBQTQyNDlGMUYwOUVCM0YA,12.4,3/20/24 9:12,Round 12.39 to the nearest tenths place.,12.4,6,G6.N3.2.1.2,Round decimals,Decimals,3,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggNTUyRkQ3NTFGRDMxREVCMkRBOUQyNjQ4QTkzQThGOTgA,I don't know the answer,3/20/24 9:17,Round 15.90 to the nearest tenths place.,15.9,6,G6.N3.2.1.2,Round decimals,Decimals,6,other,text,other
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggMjNFOTAwRDJERjkzRjZFNjdEMTEwMjEyRUI4NjczQjEA,25,3/20/24 9:13,Round 24.98 to the nearest tenths place.,25,6,G6.N3.2.1.2,Round decimals,Decimals,5,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggNzg3OTM2QkRGREMyMzE4ODk2ODhGRjQ4MjA1MDE2RjcA,56.5,3/20/24 9:19,Round 56.52 to the nearest tenths place.,56.5,6,G6.N3.2.1.2,Round decimals,Decimals,8,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggRDNGNkM3QzFFREMzRTE1NjNDN0QzMDg2NDc4Rjk1ODEA,7.7,3/20/24 9:10,Round 7.68 to the nearest tenths place.,7.7,6,G6.N3.2.1.2,Round decimals,Decimals,1,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggQjcyQTdFQUI3QkU2NjBFOUUwRDUzRjY5OEU2QjQxN0EA,82.1,3/20/24 9:12,Round 82.05 to the nearest tenths place.,82.1,6,G6.N3.2.1.2,Round decimals,Decimals,4,correct_answer,,correct_answer
5,wamid.HBgMMjMzNTMwNDAzOTI0FQIAEhggQjdFNzJGQkI3NjgwRjZBNEZCNTkzNDlFNjNEQTBDODUA,9.1,3/20/24 9:19,Round 9.12 to the nearest tenths place.,9.1,6,G6.N3.2.1.2,Round decimals,Decimals,7,correct_answer,,correct_answer
6,wamid.HBgNMjM0OTE2MDE5MzM4NRUCABIYIDQxRjhFQTcxOEQwRTZCRkYxNTE0NERCNzREN0Y3NEQ2AA==,B,3/19/24 15:28,"(3s + 5y) + (6s - 2y)
A. 9s - 7y
B. 9s + 3y
C. 9s - 3y
D. 8s + 3y",B,8,G8.A2.1.2.1,Linear expressions,Algebra,1,correct_answer,,correct_answer
6,wamid.HBgNMjM0OTE2MDE5MzM4NRUCABIYIEMzREE5QkVGMTYwQThDODkxNjU1MENBOEZBQkNGMTUwAA==,A,3/19/24 15:07,"A car travels 120 miles in H hours. The expression represents the average speed in miles per hour is ___
Speed = distance/time
A. 120/H
B. 120 x H
C. 120 + H
D. H/120",A,8,G8.A2.1.1.1,Linear expressions,Algebra,1,correct_answer,,correct_answer
6,wamid.HBgNMjM0OTE2MDE5MzM4NRUCABIYIDkwMDEyOTYzMjE2RkNEQkNCN0U3QzExMDdDNUMyMDQ5AA==,A,3/19/24 15:14,"I have 20 pens. My brother gave me n more pens and my friend gave me another  m  pens. 
The expression for this would be _____
A. 20 + n + m
B. 20n + m
C. 20m + n
D. 20nm",A,8,G8.A2.1.1.1,Linear expressions,Algebra,6,correct_answer,,correct_answer
